post_id,account,post_type,views,likes,shares,comments
53a5bd24-51b6-41ca-9ffb-7ae8f082f991,account_1,carousel,490,76,79,10
b8a6be68-8b11-45ea-9a22-c89634d78c94,account_6,reel,659,150,34,77
d2aa985e-9b24-47e6-8b69-47c3cbd2fd70,account_9,carousel,891,374,54,128
c3ecd469-c0e9-4566-8f53-20f557be34c8,account_7,static,741,164,36,60
b0197f09-df9b-4137-a3b7-b7c7b01ff9f9,account_10,carousel,799,212,89,112
792d5ecc-60fa-4203-b334-aeeb8cb198a3,account_10,static,749,166,38,22
c9afe39c-5435-40a1-affa-7af47b0bce96,account_1,carousel,846,229,67,70
d78efb80-d6c5-402b-a0c8-00449c928e85,account_2,reel,358,96,86,79
a07f4cb0-17df-4c75-86b5-75f5a0edd73e,account_5,carousel,519,99,20,115
5e7f5b2d-ccc8-4a65-8436-a88c4adaeb60,account_9,carousel,488,100,84,58
44f1ebc8-31ee-4705-aabb-452cedc17150,account_6,carousel,706,404,46,55
21a733d3-4385-4922-ac6d-013635433d98,account_2,reel,851,120,16,191
03d3152e-8f9e-42b7-b8c1-8abf03b3776a,account_5,carousel,578,104,68,119
ea4b1443-ddc1-4aed-98c4-56b570c8cc9c,account_7,static,681,146,5,24
91ca3959-97fa-43a7-bf91-597fa6c5720f,account_5,carousel,912,401,47,104
6e7bd15e-2650-4514-bce7-b2de6780c8de,account_3,carousel,544,80,27,163
ed9b4129-5d04-4c9c-865d-05846a0f03cd,account_7,static,1006,492,19,100
6855575b-9406-4ed3-b504-ac56b32299c1,account_1,carousel,964,246,89,103
93fe8a7d-1e45-45c8-afa1-00125b217845,account_4,reel,1114,497,28,147
491315e9-ac0e-4bf1-8a9d-4896d866e22a,account_9,reel,542,136,18,110
9ca52878-046b-4d74-b78d-7ddf05a05f3e,account_2,static,970,413,94,27
ae89e3ca-544f-438f-9b84-c4f39beafa40,account_1,carousel,669,147,56,29
666771cf-82ef-4fa0-9f8e-28c2d46cb44b,account_5,reel,617,118,92,45
ceed963e-c556-45d4-8ca9-ca92dc9f3e74,account_2,reel,896,339,67,116
7ea2f984-5fa4-499e-a240-a43ecc98d8da,account_10,static,532,278,87,65
060d3b43-ef1b-4734-b516-601165f5b632,account_2,reel,681,485,66,74
8f19fe7d-7b72-43b5-a5ed-81fed5df02d2,account_10,reel,215,88,54,12
ea6339f0-7967-44c2-814e-c3e5bdf0981c,account_8,carousel,675,124,92,128
16d45d15-2dcf-41c4-8cac-c8d9b2e319d7,account_1,carousel,905,265,54,200
c7f2f60d-b382-4a44-849d-3ac6cff36220,account_8,carousel,583,129,17,164
93bed537-dd30-4c15-b03d-e9f2c97572a4,account_4,carousel,836,429,90,188
3796d03a-7331-41c4-ad05-5e70b8aceda1,account_3,static,662,161,42,33
e850b448-416a-4ed1-8364-915263e022c8,account_2,reel,539,323,56,84
ff9d0163-f362-4e82-acc3-c7174078be8e,account_10,static,1015,499,9,35
cde49417-1aca-4776-8aeb-ee76335c936b,account_4,carousel,687,197,80,47
e2d7645b-e40a-40c1-b844-9298197ccc65,account_5,static,664,490,44,10
07fff775-a932-430e-8b0e-9e1c1a180176,account_6,static,693,405,19,18
2889320b-c5e1-41d0-8aab-56107e118c6a,account_8,reel,944,343,53,139
6fec873b-5eff-4c26-bf79-e8c3537e99b7,account_7,carousel,405,235,67,63
266e50aa-283e-45a6-bf05-d5373fc5ca14,account_1,reel,750,247,17,124
b3331304-9372-4e45-bb5a-e65611d213c9,account_3,carousel,611,322,69,182
638f4175-cb4b-4cb7-80fb-921a4c0a1f2f,account_2,carousel,644,134,82,198
2ab9bba7-5aa1-4282-9471-2c0b85b75a24,account_6,static,874,472,47,189
e52cabd9-9782-437b-b6cd-51b0f9c7f659,account_2,reel,332,148,13,35
f76a77ee-aa5b-4c20-9ccf-e5ad5dbce040,account_7,static,948,485,53,141
9c3d19a6-dc64-4333-828e-6d219965b4a3,account_9,reel,1203,498,43,181
5c679f61-65b6-4e0c-98bf-17b19564e527,account_3,reel,574,92,85,142
d691fbd3-718a-4711-8206-dc2cc4658e97,account_4,reel,808,107,60,198
72f535d3-9251-4e28-b293-c658ef300530,account_5,static,618,166,23,26
d4c69022-0996-41b8-90ad-49a64a358458,account_10,carousel,615,109,47,46
